
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Electrons/Jun11/SingleEle-Run2012B-13Jul2012_nominal.root 1
total events =  3426 , cuts: trigSigEle_path==1 && lepEt > 30 && eMVA > 0.90 && lepIso <0.1 && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
************************************************
*      720 *    194643 *       165 * 212419445 *
*     2466 *    194076 *       734 * 719395410 *
*     2765 *    194115 *       245 * 219916975 *
*     3153 *    194151 *       138 * 138176343 *
*     5122 *    196199 *       473 * 523684053 *
*     5214 *    196218 *       192 * 272615854 *
*     6123 *    196218 *       558 * 818837134 *
*     7566 *    195016 *       343 * 384582748 *
*     8876 *    195552 *        76 * 131519607 *
*     9637 *    195552 *       366 * 564145160 *
*    10499 *    195915 *       574 * 857686875 *
*    14769 *    194108 *       666 * 647302706 *
*    19166 *    194224 *       340 * 505571648 *
*    21666 *    194429 *       767 * 679787202 *
*    23595 *    196452 *       714 * 979160526 *
*    24062 *    196531 *       302 * 425189005 *
*    24766 *    196364 *       635 * 597778486 *
*    27476 *    196364 *      1181 * 1.089e+09 *
*    27741 *    193834 *        12 *   4157159 *
*    28412 *    194224 *       269 * 411719048 *
*    28769 *    194224 *       286 * 433809325 *
*    29320 *    194789 *       260 * 345085067 *
*    31206 *    195016 *       499 * 533136395 *
*    39469 *    194224 *       268 * 409685597 *
*    40314 *    194643 *         8 *   9346409 *
*    53622 *    194644 *        23 *  25140098 *
*    54420 *    195304 *      1040 * 1.133e+09 *
*    55258 *    195398 *        27 *  23152202 *
*    56762 *    195378 *      1105 * 1.219e+09 *
*    60963 *    196438 *       313 * 259918874 *
*    64246 *    196453 *       833 * 712352116 *
*    70935 *    194643 *       201 * 257488314 *
*    75493 *    195397 *      1030 * 1.242e+09 *
*    76682 *    194151 *       367 * 351083333 *
*    77468 *    194533 *       547 * 738366316 *
*    79358 *    196452 *       484 * 689439859 *
*    79403 *    196452 *       510 * 725591720 *
*    81126 *    195950 *       335 * 345683027 *
*    83303 *    194644 *       343 * 349661558 *
*    83467 *    194644 *       398 * 400123236 *
*    91727 *    195552 *      1199 * 1.403e+09 *
*    92993 *    196452 *       215 * 270624176 *
*    93452 *    196452 *       235 * 305153153 *
*    94697 *    196531 *       158 * 190408876 *
*   103544 *    194428 *         9 *   9393571 *
*   103828 *    194428 *        13 *  14003563 *
*   106659 *    194699 *       163 * 195671953 *
*   108774 *    195113 *        99 * 133021503 *
*   110902 *    194120 *       251 * 189437150 *
*   112187 *    194120 *       351 * 265425757 *
*   117888 *    196453 *      1584 * 1.390e+09 *
*   118964 *    196453 *      1622 * 1.421e+09 *
*   122139 *    195113 *       256 * 326528472 *
*   125599 *    195915 *       608 * 897010690 *
*   127788 *    194825 *       169 * 193660881 *
*   131659 *    195937 *       104 *  85978562 *
*   132333 *    194429 *       519 * 479338261 *
*   133202 *    194789 *       171 * 233125162 *
*   133500 *    194789 *       193 * 261005968 *
*   137438 *    195948 *       261 * 439786291 *
*   137849 *    195552 *       111 * 190958163 *
*   138668 *    195552 *       555 * 795257733 *
*   142093 *    195552 *      1370 * 1.547e+09 *
*   142416 *    195552 *      1414 * 1.591e+09 *
*   145146 *    195950 *      1184 * 1.085e+09 *
*   145653 *    196452 *      1027 * 1.326e+09 *
*   147300 *    196452 *      1083 * 1.382e+09 *
*   151438 *    195656 *       132 * 120735899 *
*   151445 *    195656 *       132 * 120694725 *
*   151703 *    195658 *        25 *  18300574 *
*   151808 *    195658 *        46 *  34251540 *
*   154694 *    195937 *        64 *  52792113 *
*   154736 *    195937 *        64 *  53379482 *
*   156448 *    195304 *       828 * 956872088 *
*   165226 *    194050 *       966 * 910733076 *
*   165504 *    194050 *       963 * 908090174 *
*   166375 *    193998 *        72 *  33657758 *
*   166387 *    193998 *        72 *  33652438 *
*   168787 *    194631 *       210 * 315647937 *
*   170197 *    194533 *       323 * 453411868 *
*   177785 *    195016 *        48 *  57310906 *
*   177879 *    195016 *        48 *  58108488 *
*   178511 *    194912 *       832 * 1.268e+09 *
*   180266 *    195948 *        70 * 140303023 *
*   180588 *    195948 *        83 * 163192563 *
*   182288 *    193998 *        79 *  42477685 *
*   185369 *    195774 *       614 * 959399091 *
*   188408 *    193998 *        87 *  53656395 *
*   189856 *    194424 *        78 *  45266723 *
*   191121 *    194120 *        17 *  13004711 *
*   191572 *    194120 *        51 *  40345707 *
*   192841 *    195397 *      1151 * 1.344e+09 *
*   194496 *    195530 *       368 * 527444742 *
*   195681 *    195950 *       185 * 194416090 *
*   196532 *    193998 *        90 *  57426927 *
*   196547 *    193998 *        90 *  57473679 *
*   197054 *    194108 *        83 *  20068009 *
*   203820 *    194424 *       242 * 338454198 *
*   204396 *    194424 *       590 * 831425346 *
*   205124 *    194108 *       177 * 140781841 *
*   205360 *    194108 *       527 * 517978891 *
*   206249 *    194199 *       222 * 187818676 *
*   206905 *    194455 *       296 * 462401170 *
*   207542 *    194711 *       154 * 138875918 *
*   207864 *    194711 *       160 * 144299038 *
*   209031 *    194108 *       294 * 276778303 *
*   211059 *    194210 *       339 * 318730337 *
*   215047 *    194644 *       123 * 132690611 *
*   221941 *    194314 *       208 * 287485717 *
*   225504 *    195948 *       520 * 778565715 *
*   225755 *    195950 *       110 * 117694083 *
*   225930 *    195950 *        25 *  26971467 *
*   226135 *    193998 *       103 *  75428559 *
*   230181 *    193998 *       124 * 101534054 *
*   231543 *    193999 *        21 *  22113511 *
*   234345 *    195013 *       369 * 551142111 *
*   236081 *    194912 *      1451 * 1.890e+09 *
*   236397 *    194912 *      1456 * 1.894e+09 *
*   236686 *    195397 *        47 *  79473752 *
*   239939 *    195950 *      1445 * 1.307e+09 *
*   240398 *    196250 *        79 * 144969151 *
*   240490 *    196250 *       102 * 184425529 *
*   242716 *    196438 *       360 * 296334957 *
*   242843 *    196438 *       361 * 296557674 *
*   242846 *    196438 *       361 * 297095978 *
*   244935 *    194735 *        78 *  70994447 *
*   248907 *    193998 *       140 * 122135790 *
*   250070 *    194108 *       129 *  79999572 *
*   250372 *    194314 *       228 * 319111686 *
*   250448 *    194314 *       231 * 324783025 *
*   251058 *    194303 *        69 *  38136259 *
*   253875 *    196453 *       506 * 452311995 *
*   254893 *    194119 *       170 * 150863035 *
*   257335 *    193998 *       134 * 114218127 *
*   257753 *    193998 *       175 * 165655418 *
*   258910 *    194108 *       373 * 361503594 *
*   261975 *    196027 *        43 *  67757736 *
*   263440 *    194076 *       114 * 128289639 *
*   263828 *    194076 *       128 * 143307339 *
*   270204 *    196239 *       617 * 572786766 *
*   271734 *    196438 *       919 * 787795822 *
*   272697 *    194108 *       621 * 606124076 *
*   275466 *    195113 *       500 * 589968138 *
*   280280 *    194464 *       102 * 151155077 *
*   288257 *    195774 *       279 * 497910442 *
*   295648 *    196453 *      1462 * 1.289e+09 *
*   297089 *    196453 *      1507 * 1.326e+09 *
*   299628 *    194108 *       400 * 389747659 *
*   303991 *    194108 *       173 * 135092067 *
*   304015 *    194108 *       174 * 136945216 *
*   304098 *    194108 *       174 * 136573085 *
*   308040 *    194315 *       447 * 537612374 *
*   309449 *    194464 *        62 *  93558081 *
*   311616 *    194050 *      1017 * 956565599 *
*   311787 *    194050 *      1023 * 961394445 *
*   315664 *    195948 *       580 * 848680104 *
*   320962 *    195530 *       107 * 169160069 *
*   321298 *    195649 *       111 * 166875070 *
*   324574 *    193998 *       194 * 188334548 *
*   329205 *    196453 *      1508 * 1.327e+09 *
*   331396 *    196495 *       192 * 156403891 *
*   332749 *    193998 *       179 * 169960227 *
*   334226 *    194027 *        84 *  60676868 *
*   336631 *    196027 *       177 * 265477798 *
