
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Muons/Jun11Mu/SingleMu-Run2012C-24Aug2012_nominal.root 1
total events =  256 , cuts: trigSigMuNonIso_path==1 && lepEt > 45. && lepIso < 0.12 && isMuTight && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
************************************************
*      122 *    198269 *       127 * 204982574 *
*     4559 *    198487 *       282 * 340955860 *
*     6586 *    198272 *       237 * 223011864 *
*     7446 *    198212 *       309 * 193323022 *
*     8359 *    198487 *       412 * 477951783 *
*    10916 *    198230 *       221 * 245620142 *
*    11576 *    198212 *        49 *  28675246 *
*    11907 *    198230 *       358 * 379093564 *
*    12402 *    198230 *      1117 * 945278600 *
*    12841 *    198230 *       905 * 810276992 *
*    12966 *    198230 *       190 * 213999390 *
*    13687 *    198487 *       244 * 298803363 *
*    15215 *    198207 *        10 *   8794516 *
*    15398 *    198212 *        13 *   7195680 *
*    16530 *    198487 *        10 *  12083791 *
*    16628 *    198487 *        64 *  84418747 *
*    17038 *    198487 *       782 * 876622818 *
*    20426 *    198272 *       500 * 441674142 *
*    22232 *    198487 *       536 * 615542931 *
*    24065 *    198230 *       476 * 484585681 *
*    26567 *    198271 *       296 * 365971903 *
*    26800 *    198487 *      1029 * 1.109e+09 *
*    27066 *    198487 *      1068 * 1.144e+09 *
*    27421 *    198049 *        28 *  22172411 *
*    27588 *    198210 *        19 *  13212701 *
*    27958 *    198230 *       446 * 459134409 *
*    29052 *    198230 *      1086 * 926897544 *
*    30673 *    198487 *       144 * 182717486 *
*    30733 *    198487 *       446 * 512142341 *
*    36163 *    198230 *       828 * 756602382 *
*    36752 *    198230 *       531 * 530707555 *
*    39097 *    198487 *       492 * 565304463 *
*    39232 *    198487 *      1271 * 1.316e+09 *
*    39713 *    198050 *         2 *   1342238 *
*    40612 *    198230 *       549 * 545548289 *
*    41024 *    198207 *        60 *  53407323 *
*    41227 *    198487 *       505 * 580202048 *
*    41851 *    198487 *       604 * 690473032 *
*    41871 *    198487 *       604 * 690811373 *
*    42366 *    198487 *      1401 * 1.419e+09 *
*    42509 *    198487 *      1431 * 1.442e+09 *
*    44380 *    198487 *      1459 * 1.464e+09 *
*    46852 *    198210 *       220 * 143340494 *
*    47824 *    198271 *       227 * 286675189 *
*    49218 *    198271 *       263 * 329059201 *
*    50246 *    198049 *        49 *  38177569 *
*    50801 *    198272 *        59 *  56960271 *
*    51501 *    198230 *       893 * 801701339 *
*    52314 *    198487 *       768 * 862087624 *
*    55873 *    198212 *        42 *  24338672 *
*    56154 *    198212 *       122 *  70433387 *
*    56256 *    198212 *       130 *  74691576 *
*    56551 *    198212 *       125 *  71940964 *
*    57246 *    198271 *       411 * 488499363 *
*    57699 *    198271 *       475 * 556073717 *
*    58152 *    198050 *        27 *  20792997 *
*    66093 *    198050 *        22 *  16787854 *
*    66421 *    198050 *        92 *  70158554 *
*    67266 *    198271 *       254 * 318149957 *
*    67561 *    198271 *       301 * 371433303 *
*    67632 *    198271 *       302 * 372254047 *
*    68463 *    198487 *       429 * 494723473 *
*    70223 *    198210 *        42 *  28327204 *
*    70271 *    198215 *         6 *   4215707 *
*    71254 *    198230 *         2 *   1695044 *
*    71405 *    198230 *       231 * 256491099 *
*    73417 *    198272 *        20 *  19749197 *
*    75833 *    198230 *       535 * 534406728 *
*    80550 *    198487 *        50 *  65103152 *
*    82214 *    198230 *       340 * 362136680 *
*    86584 *    198230 *      1135 * 955985786 *
*    86719 *    198487 *       246 * 301073546 *
