#  RunNo   LumiNo          EvtNo 
 191247      426      599318780 
 191247     1149     1369495781 
 191720       31       30013379 
 190733      238      248126934 
 191226     1466     1772888447 
 191247       67      104795931 
 193621      250      227157204 
 193541      454      289525901 
 193193      449      298084265 
 190895      699      717978411 
 190945      179      111346155 
 195552      262      421491361 
 195655      272      313323654 
 194076      541      533495607 
 195757      141      232819463 
 195774      319      560668183 
 195774      710     1072401820 
 195776      314      257405479 
 195915      114      205340119 
 195930      451      400096640 
 195948      235      401080365 
 195948      263      442761954 
 195948      306      502847188 
 195950      325      336743515 
 195950     1526     1371634390 
 196218      390      588185645 
 196218      418      628890590 
 196239      851      754965946 
 196239      802      714791672 
 196239      977      878190091 
 196250      388      619080166 
 196349      250      377337320 
 196438      221      186992162 
 196438      245      205916721 
 196438      673      564382590 
 196438     1007      863676599 
 196452      596      831859344 
 196452      741     1011680915 
 196452      917     1211167898 
 196452     1021     1319756904 
 196531      269      374713978 
 194199      100       36306302 
 194424       71       32680237 
 194223       91       69381303 
 194479      331      387463325 
 194315      396      484495156 
 194424      183      238677060 
 194424      130      144720430 
 194428      106      114465952 
 194428      188      198734734 
 194429      651      587891729 
 194480       79       71060200 
 195656      165      150326147 
 194480      471      425913651 
 194480     1089      955663562 
 194480      985      873910161 
 194115      147      123555007 
 194691      149      188204522 
 194699       94      114588587 
 194704      111      104899712 
 194704      289      262037454 
 194789      173      236007818 
 194789      245      326079786 
 194912       89       95233337 
 194912      633     1016028904 
 194912      765     1187057423 
 194912      573      932228828 
 194912     1434     1874909912 
 194912     1575     1992754229 
 194915        9        7897104 
 195147      449      545597382 
 194050     1875     1634887911 
 195113      226      290216457 
 195147      441      534300904 
 195163      218      301948948 
 195165       87      117269708 
 195165      165      218842858 
 195304      200      272721206 
 195304      230      309230114 
 195304      631      776534533 
 195398      276      230542882 
 195399       18       14396215 
 195397      428      619696832 
 194199      296      273171998 
 195398      875      734606426 
 195398     1346     1070671311 
 195552      268      429925713 
 198212       73       42315358 
 198272      396      357974696 
 198372       98       68256399 
 198487        4        5293223 
 198269      157      249596884 
 200229      368      400780958 
 200244      229      341486844 
 200244      348      493697028 
 200244      319      458183663 
 200244      354      501072360 
 200245      115      132800445 
 200245      334      362439533 
 200368       93       40046325 
 200473      861      916616011 
 200491      324      423131654 
 200515      181      165349924 
 200519       35       54242992 
 200519      195      285223780 
 199008      147      160167774 
 199008      193      229220395 
 200525      576      747105789 
 200525      790      979491005 
 200990       87       53133473 
 200991      592      747745397 
 201062      189      233684194 
 201115       53       95757677 
 201168      253      281746566 
 201168      668      721887496 
 201191       83       59523332 
 201191      478      728367416 
 201191      559      837255542 
 201191     1045     1400486637 
 201191     1161     1524337358 
 201196      106       92234097 
 201196      485      389838737 
 201278      547      743519679 
 201278     2140     2161554207 
 198954      230      272936430 
 201602      198      233463707 
 201602      322      439421607 
 201657      104       75344854 
 199021      795      935548104 
 199021     1044     1199187660 
 199021     1231     1378189313 
 201708       31       29425554 
 201802      234      308058958 
 201817      127      129398243 
 202044      163      190222814 
 202044      458      623590304 
 202045      226      263085022 
 202045      466      525951406 
 202045      671      742264888 
 202060      285      356975926 
 202060      322      408121454 
 202075      100      156165289 
 202087       16       23379974 
 202087       82      116978173 
 202087      337      437041511 
 202093      173      120974364 
 202178      115       96657856 
 202178      180      200749304 
 202178     1315     1455594511 
 202178     1421     1543444402 
 202178     1323     1462532599 
 202237       68       74900776 
 202237      106      141999463 
 202272     1074     1175449329 
 202299      323      449751667 
 199336       57       57548743 
 202328      437      649654758 
 202333      183      205194577 
 202469      202      250061379 
 202478     1245     1214514810 
 202478      951      977778147 
 202478     1070     1077454538 
 202504     1688     1801113775 
 202504     1416     1590852515 
 202972      479      608216685 
 202973      223      241550941 
 203002      279      373325601 
 203002      686      879783931 
 203002     1090     1324381527 
 199409      405      518776925 
 199409      944     1088297887 
 199428      164      197786411 
 199428      471      572135772 
 199428      547      653672011 
 199429       13       14914736 
 199435     1399     1462157139 
 199436      440      299313764 
 199571      368      394606160 
 199571      289      315024260 
 199608       72       39667803 
 198955      609      703526868 
 199608      836      964720514 
 199608     1190     1309292696 
 199699      618      717716512 
 198955      931     1023536764 
 199754      700      692045605 
 199804      275      312977152 
 199833       30       39723687 
 199833      216      265370700 
 198969       72       79170703 
 199833      746      845647610 
 199960      157      160475230 
 198969      278      370642733 
 199961       28       30477088 
 199961      152      162055685 
 200041      425      533531298 
 200041      686      825935842 
 200041      741      890169784 
 200041      920     1085951314 
 200042      185      158064461 
 198969      537      673842816 
 200091      804      952417251 
 200091     1256     1410776681 
 200091     1003     1165862422 
 200180       10       14736850 
 200188      103      140545881 
 206744      204      288476537 
 206745      211      239016445 
 206859      844     1185850026 
 206866      202      210980907 
 206869      170      176060645 
 206897       27       48123504 
 207099      110       94816295 
 205667      446      481018065 
 207099      457      665280858 
 207099      507      732103444 
 207099      633      893153682 
 207222      284      257494883 
 207231      187      251945152 
 207231      653      958560169 
 207231      722     1041814964 
 207231      986     1329227800 
 207269      137      144791610 
 207269      107       91090758 
 207273      196      224090974 
 207279      147      191221167 
 205683      155      181978586 
 207279     1116     1421416801 
 207372      318      467781242 
 207454     1702     2044823838 
 207487      356      582745279 
 207488      192      241985745 
 207490      111      122961104 
 207491      113      121475820 
 207491      161      171321860 
 207491      211      221244383 
 207515      229      338162022 
 207515      533      835527074 
 207515      748     1118155568 
 207883       46       74055983 
 205694      813      742694680 
 207889       40       40392742 
 207889      575      592769839 
 207898      231      364487167 
 207905      311      449812990 
 207905     1001     1305361392 
 207905     1020     1327111583 
 207905     1392     1711495565 
 207905     1676     1960966663 
 207920      183      250288939 
 207921        1         228539 
 208307      141      233659522 
 208307     1281     1545699397 
 208351      173      213390787 
 208357       65       64624555 
 208427      237      379621166 
 208487       62      107549685 
 208487      120      211760615 
 208487      283      469706703 
 208487      448      690633375 
 205781       14       21085204 
 208540       46       81021912 
 205158      387      547724497 
 205193      541      750121596 
 205193      668      894342671 
 205193      830     1065180228 
 205238       34       37583511 
 205238       84       90929841 
 205238      197      210394380 
 205303      114      186835578 
 204113      357      541626456 
 204113      526      784318275 
 204114      127      141918906 
 204114      268      288875128 
 204250      604      788640047 
 204541       37       62031322 
 204544      205      291284963 
 205519      146      184457245 
 204563      302      401130083 
 204564      381      421960021 
 204564      415      455941768 
 204564      839      902011469 
 204577        9       12696684 
 204577      387      499074434 
 204577      410      524493478 
 205833      221      308920232 
 205111      237      315976836 
 205834       52       75686679 
 205310      195      256030899 
 205311      228      246847998 
 205311      947      911681561 
 205311     1097     1021573275 
 205339      144      168825830 
 205921       90      143921208 
 205344       86      104483743 
 205344      832      899755573 
 205515       91       65035317 
 205921      177      282629772 
 205921      840     1094344685 
 206102      124      131486889 
 206102      124      131594850 
 205617       50       56102679 
 206187      215      273407882 
 206187      230      302164195 
 206207       98       84565512 
 206207      239      344347631 
 206207      496      733462721 
 206207      513      756286373 
 206207      605      872770350 
 206208       74       81697931 
 206243      242      371425919 
 206243      140      186380866 
 206243      316      492908666 
 205617      460      483247100 
 206243      514      777817719 
 206243      661      957943257 
 206246      558      530890807 
 206302      137      221327206 
 206389      191      231049817 
 206401       97       90812687 
 206401      246      366351405 
 205666      325      512515060 
 206446      810     1099801034 
 206446      460      670173746 
 206448       73       76603205 
 205666       79       86102392 
 206448      403      393292499 
 206478      112      150760698 
 206484      103       85661147 
 206484      176      216267899 
 206512      824     1028891084 
 206598       13       11353542 
 208686      240      357213071 
 208686      253      379264835 
 191226     1000     1311977586 
 191226     1057     1373483357 
 191277       83       83440212 
 191247      841     1072086067 
 193193      371      250174768 
 191264      169      180738014 
 191271      157      151770342 
 191271      324      355254099 
 191277      143      144408567 
 193193      131       89606497 
 193193      235      160705037 
 193621      982      827372577 
 190738       17       12737871 
 191226      740     1010475387 
 190782      304      378737058 
 190906       86       38499138 
 195398      125       97589098 
 195398      418      362193456 
 195398      453      393749794 
 195398     1130      917644935 
 195398     1412     1134028411 
 195398     1521     1236227743 
 195530      152      236646905 
 195399      150      123510751 
 195530       23       36060568 
 194151      120      119663321 
 195530      387      551352007 
 195530      391      556064591 
 195552      641      891757229 
 194150      233      288323442 
 195552     1340     1517616374 
 195552     1563     1731908246 
 195655      135      161420921 
 196048       44       71222307 
 195658      176      162930559 
 195658      300      280006225 
 195937        6        4289456 
 195774      250      452411094 
 194199      350      332661372 
 195774       73      143749728 
 195774      607      950677126 
 195774      485      795523045 
 195930      159      122167388 
 195950      947      866930947 
 195775      145      134289532 
 195776      348      283069872 
 195868      182      299696703 
 194108      282      263299760 
 195937       50       41711349 
 195950     1004      921589165 
 195915      756     1061185096 
 196203        1         677343 
 195948      399      627420858 
 195948      487      738753337 
 195950      218      229734224 
 195950     1393     1264640773 
 195950      190      198570970 
 195950      518      508325435 
 196334       62       30390452 
 196199        5        6064528 
 196197      138      173488445 
 196364      824      746238372 
 196218      577      842109895 
 196239      245      248202303 
 196239      672      615927296 
 196239      357      352249088 
 196239      498      474564727 
 196438      481      386451262 
 196239      772      692281274 
 196250      202      349994336 
 196250      202      349781695 
 196349      212      312408671 
 196452      541      759881847 
 194120      313      232195720 
 196438      356      293192030 
 196438      100       86389066 
 196452     1083     1382934984 
 196438      972      834001080 
 194150      135      157193980 
 194150      213      263382375 
 196452      314      435702777 
 196452      344      484686179 
 196452      771     1047172552 
 196452      731     1000171100 
 196453      219      206908627 
 196453      220      207943825 
 196453     1300     1150051127 
 196495      182      139137193 
 196531      308      435387204 
 196531      285      400130354 
 194151      117      116961781 
 194210       75       75168667 
 194225      140      161368721 
 194424      155      190671542 
 193998      135      115720966 
 194479      519      577341508 
 195164       44       65682966 
 194479      208      252810135 
 194424      688      949525414 
 194424      572      809317866 
 195658       70       57340661 
 194429      393      369946840 
 194429      869      757410844 
 194429      739      657490873 
 194455      221      342987959 
 194455      156      228170263 
 194479      214      259786480 
 194479      503      561775389 
 194480     1162     1011020891 
 194533      183      249867929 
 194115      280      257891885 
 194644      204      215692526 
 194644      299      308392001 
 195013      260      376382713 
 194702       43       44963621 
 194115      498      474142688 
 194115       92       56440867 
 194712      201      147339758 
 194735      119      140108175 
 194912      522      857377471 
 194912      715     1124086265 
 194912     1566     1985775047 
 194912     1518     1946102948 
 195013      270      393691284 
 195013      531      779259903 
 195013      361      537919128 
 195016       88      105710888 
 195016      510      542931940 
 195099      234      359627761 
 195109      141      138541720 
 194050     1252     1153912463 
 195147      376      438626080 
 195113      260      331202929 
 196218      440      659722720 
 194050     1086     1016709394 
 194050     1214     1123373510 
 195147      455      553799361 
 195147      405      481537274 
 195774      432      723905818 
 195163      137      156009849 
 195163      246      348665590 
 194052      107      102476349 
 195757       90      148892648 
 194210      423      388954649 
 195304      942     1053666764 
 195757        3        4313454 
 195378      124      114642926 
 195397      103      170193972 
 195397      109      179371925 
 195397      178      285813789 
 195397      337      505818838 
 195397      517      725434519 
 195397      855     1082056290 
 195397      926     1148417238 
 198063      137       96639353 
 198269       27       45156311 
 198522      129      114148919 
 198271       81      108207972 
 198272      181      171469874 
 198271      153      198186792 
 198272      252      233447180 
 198487      949     1037572488 
 198207       51       45493235 
 198230      229      253746104 
 198230      281      306227314 
 198487      749      842433433 
 198487      296      355566818 
 198272      471      418331504 
 200473     1073     1104779174 
 200473      189      161323252 
 200473     1284     1270992407 
 200473      593      640421333 
 200519      184      270309114 
 200525      137      136412901 
 200525      533      698251461 
 200525      849     1048162022 
 200600      621      811065304 
 200600      790     1005200925 
 200990      106       85196761 
 200991      198      287391810 
 200992      191      169594681 
 200992      211      186804421 
 200992      479      400234016 
 201062      254      340975041 
 201062      211      271565354 
 199008      432      544500342 
 201097      239      305103303 
 201097      266      347666965 
 201164       24       38891065 
 201164      117      184158562 
 201164      228      344106069 
 201168       20       22741245 
 201168      696      749013307 
 201168      690      743338843 
 201173       36       32246918 
 201173      233      200912214 
 201173      291      247932614 
 201173      425      351080635 
 201191      279      425115143 
 201191      799     1118177814 
 201191      794     1112261898 
 201191     1315     1677712870 
 199021      195      228692631 
 201278     1770     1916346553 
 201278     2143     2163642459 
 201602       96       48960182 
 201611      113       65587881 
 201613      634      884103940 
 201613      636      885769682 
 201613      205      336449278 
 201613      602      848120998 
 199021      409      505356147 
 201658      121      219082826 
 201669      160      276125283 
 201669      107      189376673 
 201669      150      261172149 
 201671       57       84228518 
 201671      257      350610232 
 201671      267      362171037 
 201671      329      436329932 
 201671      629      764336093 
 201671     1000     1150596856 
 201679      104       88424200 
 201706       31       49831730 
 199021      836      980890245 
 201707       68      100589051 
 201707      264      363316324 
 201707      129      186686538 
 201707      608      748542298 
 201718       66       29029633 
 201729       18       28528520 
 201729       72      114154924 
 199021     1138     1290594163 
 201729      108      167758143 
 201816      154      175168423 
 199021     1192     1342206562 
 201824       26       22778205 
 201824      250      218231267 
 201824      410      345677208 
 199318       68       36131783 
 202045      222      259144989 
 202054       35       30637045 
 202054       81       70133489 
 202054      539      424876432 
 202054      581      453844921 
 199319        2        3013437 
 202054      438      352449432 
 202060      260      319241937 
 202060      374      477952606 
 202060      547      686901759 
 202060      814      979835044 
 202074       79       49462105 
 199319       58       95115745 
 202074      117      119847440 
 202075      307      436237719 
 202075      326      459004580 
 202075      332      466555519 
 202087      327      426316185 
 202178      875     1041418920 
 202178      832      995524637 
 202209      120      183141978 
 202237      343      533735545 
 202237      797     1109792447 
 202237      718     1021301402 
 202272      647      745638253 
 202272      834      953262829 
 202272      979     1085913488 
 202299      285      393816211 
 202299      364      510520629 
 202299      367      514317865 
 202299      429      600005944 
 202299      467      650831245 
 202305      258      237322653 
 202314      120      117802963 
 202314      238      335489076 
 202328      168      229703141 
 202328      393      587433432 
 202328      497      731987109 
 202389      173      193624437 
 202469      174      198080271 
 202472       68       97329198 
 202478      681      732132351 
 202478      688      738725480 
 202504      513      680789909 
 202504     1136     1343380108 
 202504     1398     1575396270 
 202504     1561     1705823694 
 202972      143      208337903 
 202972      136      198643218 
 202973      154      170139722 
 202973     1353     1146478097 
 202973     1189     1025053349 
 203002       81       58948951 
 203002      708      903108405 
 203002      867     1082598477 
 199356      112       54269997 
 199356      205      208467827 
 199409      498      619847350 
 198941      118      104317995 
 199428      244      308034317 
 199428      500      604104186 
 199435       94       69423475 
 199571      520      539313293 
 199571      399      425522660 
 199574       21       15652809 
 198955     1374     1393599310 
 199608      205      234535151 
 199608      571      669970804 
 199608      665      776369957 
 199608      669      781486309 
 199608      991     1122258435 
 199608     1243     1356025916 
