Run Event #
191271 78659325 102
191226 573993059 409
191226 574785949 410
191226 978009670 711
191247 68554106 45
191247 601924446 428
191248 19840870 26
190738 297477586 329
191264 125252375 128
191247 776931110 572
191062 434451079 409
190705 438598643 339
191062 513297247 492
193336 86926215 109
191830 296479609 206
191057 10731595 14
193334 54726248 80
191720 80635757 84
193575 386164651 502
193575 422653397 553
191201 66056780 58
191202 88724996 54
193541 94332586 181
193541 160018292 267
193541 161114550 269
191247 1296426186 1069
191247 1423071961 1209
193621 127106745 155
191226 343882316 259
191833 4758187 8
191833 129844110 100
191226 1044170848 768
191226 1192667754 893
191277 20804468 23
191277 30978610 33
191277 31245257 33
191277 103377972 102
191277 106368559 105
191718 65246177 65
193207 11653410 58
191062 123053439 109
191062 196009523 175
191062 383028523 356
191277 28542620 31
193541 236517501 374
191062 265338461 240
191277 82210040 82
191277 86713547 86
191277 145720117 145
191277 146275883 145
191277 149593524 149
191718 51391548 56
191718 51861686 56
191226 123159659 129
191277 630631479 722
191277 633223910 725
193621 662266471 754
193621 710320935 818
193621 759206176 885
193621 763536268 891
193621 799464732 942
193621 881956965 1063
191226 1791189601 1487
191226 761703476 543
191834 411047449 352
191226 1051380187 774
191226 1106354207 819
191226 1107874615 820
191226 1512613835 1192
191810 137271558 86
191247 45804261 32
191810 30120233 22
193556 24069437 54
191247 81275541 53
191837 57542398 59
191837 58079310 60
191247 748311900 548
191720 21217267 23
191720 129063563 138
193575 484980040 644
191277 226887716 229
191277 254775263 258
191277 353355862 368
191277 359236653 374
191277 393655361 414
191277 435516946 463
191277 450528137 481
191277 451522742 483
191277 478853048 516
191830 40755033 67
193336 97633686 123
193336 98177503 124
193336 388657570 560
193336 410600482 598
191834 53524016 45
191834 276662145 230
193123 8321106 14
193541 268794800 422
193541 272195635 427
193575 425092598 557
193575 459103028 606
193575 533751936 717
191721 25132231 37
191721 28799264 42
191721 75063088 109
191859 10325698 16
193621 343979385 371
193621 344818487 372
193621 400526076 433
193621 451947758 491
193621 1020085195 1280
193621 267132627 290
193621 396528480 429
193621 396721611 429
191046 298090385 221
191226 358033970 268
191830 426807646 284
191834 373264748 317
